[
LINE:	1	VALUE:	class		TOKEN:	T_RESERVE_WORD_CLASS, 
LINE:	1	VALUE:	Foo		TOKEN:	T_IDENTIFIER, 
LINE:	1	VALUE:	{		TOKEN:	T_DEL_C_LPAREN, 
LINE:	2	VALUE:	int		TOKEN:	T_RESERVE_WORD_INT, 
LINE:	2	VALUE:	var1		TOKEN:	T_IDENTIFIER, 
LINE:	2	VALUE:	;		TOKEN:	T_DEL_SEMICOLON, 
LINE:	3	VALUE:	float		TOKEN:	T_RESERVE_WORD_FLOAT, 
LINE:	3	VALUE:	var2		TOKEN:	T_IDENTIFIER, 
LINE:	3	VALUE:	;		TOKEN:	T_DEL_SEMICOLON, 
LINE:	4	VALUE:	int		TOKEN:	T_RESERVE_WORD_INT, 
LINE:	4	VALUE:	var3		TOKEN:	T_IDENTIFIER, 
LINE:	4	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	4	VALUE:	10		TOKEN:	T_INTEGER, 
LINE:	4	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	4	VALUE:	;		TOKEN:	T_DEL_SEMICOLON, 
LINE:	5	VALUE:	float		TOKEN:	T_RESERVE_WORD_FLOAT, 
LINE:	5	VALUE:	var4		TOKEN:	T_IDENTIFIER, 
LINE:	5	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	5	VALUE:	2		TOKEN:	T_INTEGER, 
LINE:	5	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	5	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	5	VALUE:	3		TOKEN:	T_INTEGER, 
LINE:	5	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	5	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	5	VALUE:	4		TOKEN:	T_INTEGER, 
LINE:	5	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	5	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	5	VALUE:	6		TOKEN:	T_INTEGER, 
LINE:	5	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	5	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	5	VALUE:	7		TOKEN:	T_INTEGER, 
LINE:	5	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	5	VALUE:	;		TOKEN:	T_DEL_SEMICOLON, 
LINE:	6	VALUE:	Utility		TOKEN:	T_IDENTIFIER, 
LINE:	6	VALUE:	utility		TOKEN:	T_IDENTIFIER, 
LINE:	6	VALUE:	;		TOKEN:	T_DEL_SEMICOLON, 
LINE:	7	VALUE:	int		TOKEN:	T_RESERVE_WORD_INT, 
LINE:	7	VALUE:	FindMax		TOKEN:	T_IDENTIFIER, 
LINE:	7	VALUE:	(		TOKEN:	T_DEL_R_LPAREN, 
LINE:	7	VALUE:	int		TOKEN:	T_RESERVE_WORD_INT, 
LINE:	7	VALUE:	f1		TOKEN:	T_IDENTIFIER, 
LINE:	7	VALUE:	,		TOKEN:	T_DEL_COMMA, 
LINE:	7	VALUE:	float		TOKEN:	T_RESERVE_WORD_FLOAT, 
LINE:	7	VALUE:	f2		TOKEN:	T_IDENTIFIER, 
LINE:	7	VALUE:	,		TOKEN:	T_DEL_COMMA, 
LINE:	7	VALUE:	int		TOKEN:	T_RESERVE_WORD_INT, 
LINE:	7	VALUE:	a		TOKEN:	T_IDENTIFIER, 
LINE:	7	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	7	VALUE:	1		TOKEN:	T_INTEGER, 
LINE:	7	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	7	VALUE:	,		TOKEN:	T_DEL_COMMA, 
LINE:	7	VALUE:	float		TOKEN:	T_RESERVE_WORD_FLOAT, 
LINE:	7	VALUE:	b		TOKEN:	T_IDENTIFIER, 
LINE:	7	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	7	VALUE:	2		TOKEN:	T_INTEGER, 
LINE:	7	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	7	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	7	VALUE:	2		TOKEN:	T_INTEGER, 
LINE:	7	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	7	VALUE:	,		TOKEN:	T_DEL_COMMA, 
LINE:	7	VALUE:	Foo		TOKEN:	T_IDENTIFIER, 
LINE:	7	VALUE:	foo		TOKEN:	T_IDENTIFIER, 
LINE:	7	VALUE:	,		TOKEN:	T_DEL_COMMA, 
LINE:	7	VALUE:	Foo		TOKEN:	T_IDENTIFIER, 
LINE:	7	VALUE:	foo		TOKEN:	T_IDENTIFIER, 
LINE:	7	VALUE:	[		TOKEN:	T_DEL_S_LPAREN, 
LINE:	7	VALUE:	1		TOKEN:	T_INTEGER, 
LINE:	7	VALUE:	]		TOKEN:	T_DEL_S_RPAREN, 
LINE:	7	VALUE:	)		TOKEN:	T_DEL_R_RPAREN, 
LINE:	7	VALUE:	{		TOKEN:	T_DEL_C_LPAREN, 
LINE:	8	VALUE:	int		TOKEN:	T_RESERVE_WORD_INT, 
