[SEVERE][SYNTAX]ERROR: IN LINE NUMBER:	2:	Expected One of these tokens:	class program
[WARNING][SYNTAX]SKIPPING TOKEN:	a	AT LINE NUMBER:	2
[WARNING][SYNTAX]SKIPPING TOKEN:	b	AT LINE NUMBER:	2
[WARNING][SYNTAX]SKIPPING TOKEN:	c	AT LINE NUMBER:	2
[WARNING][SYNTAX]SKIPPING TOKEN:	d	AT LINE NUMBER:	2
[WARNING][SYNTAX]SKIPPING TOKEN:	e	AT LINE NUMBER:	2
[WARNING][SYNTAX]SKIPPING TOKEN:	f	AT LINE NUMBER:	2
[WARNING][SYNTAX]SKIPPING TOKEN:	g	AT LINE NUMBER:	2
[WARNING][SYNTAX]SKIPPING TOKEN:	h	AT LINE NUMBER:	2
[WARNING][SYNTAX]SKIPPING TOKEN:	i	AT LINE NUMBER:	2
[WARNING][SYNTAX]SKIPPING TOKEN:	j	AT LINE NUMBER:	2
[WARNING][SYNTAX]SKIPPING TOKEN:	aa	AT LINE NUMBER:	4
[WARNING][SYNTAX]SKIPPING TOKEN:	abc	AT LINE NUMBER:	4
[WARNING][SYNTAX]SKIPPING TOKEN:	a01	AT LINE NUMBER:	6
[WARNING][SYNTAX]SKIPPING TOKEN:	a000a	AT LINE NUMBER:	6
[WARNING][SYNTAX]SKIPPING TOKEN:	asdfoo000111	AT LINE NUMBER:	6
[WARNING][SYNTAX]SKIPPING TOKEN:	aaAKD	AT LINE NUMBER:	6
[WARNING][SYNTAX]SKIPPING TOKEN:	IF	AT LINE NUMBER:	9
[WARNING][SYNTAX]SKIPPING TOKEN:	ELSE	AT LINE NUMBER:	9
[WARNING][SYNTAX]SKIPPING TOKEN:	THEN	AT LINE NUMBER:	9
[WARNING][SYNTAX]SKIPPING TOKEN:	FOR	AT LINE NUMBER:	9
[WARNING][SYNTAX]SKIPPING TOKEN:	INT	AT LINE NUMBER:	9
[WARNING][SYNTAX]SKIPPING TOKEN:	GET	AT LINE NUMBER:	9
[WARNING][SYNTAX]SKIPPING TOKEN:	PUT	AT LINE NUMBER:	9
[WARNING][SYNTAX]SKIPPING TOKEN:	CLASS	AT LINE NUMBER:	9
[WARNING][SYNTAX]SKIPPING TOKEN:	FLOAT	AT LINE NUMBER:	9
[WARNING][SYNTAX]SKIPPING TOKEN:	INT	AT LINE NUMBER:	9
[WARNING][SYNTAX]SKIPPING TOKEN:	RETURN	AT LINE NUMBER:	9
[WARNING][SYNTAX]SKIPPING TOKEN:	iF	AT LINE NUMBER:	10
[WARNING][SYNTAX]SKIPPING TOKEN:	Else	AT LINE NUMBER:	10
[WARNING][SYNTAX]SKIPPING TOKEN:	TheN	AT LINE NUMBER:	10
[WARNING][SYNTAX]SKIPPING TOKEN:	foR	AT LINE NUMBER:	10
[WARNING][SYNTAX]SKIPPING TOKEN:	InT	AT LINE NUMBER:	10
[WARNING][SYNTAX]SKIPPING TOKEN:	geT	AT LINE NUMBER:	10
[WARNING][SYNTAX]SKIPPING TOKEN:	pUt	AT LINE NUMBER:	10
[WARNING][SYNTAX]SKIPPING TOKEN:	cLaSs	AT LINE NUMBER:	10
[WARNING][SYNTAX]SKIPPING TOKEN:	floaT	AT LINE NUMBER:	10
[WARNING][SYNTAX]SKIPPING TOKEN:	inT	AT LINE NUMBER:	10
[WARNING][SYNTAX]SKIPPING TOKEN:	returN	AT LINE NUMBER:	10
[WARNING][SYNTAX]SKIPPING TOKEN:	AND	AT LINE NUMBER:	13
[WARNING][SYNTAX]SKIPPING TOKEN:	NOT	AT LINE NUMBER:	13
[WARNING][SYNTAX]SKIPPING TOKEN:	OR	AT LINE NUMBER:	13
[WARNING][SYNTAX]SKIPPING TOKEN:	anD	AT LINE NUMBER:	14
[WARNING][SYNTAX]SKIPPING TOKEN:	noT	AT LINE NUMBER:	14
[WARNING][SYNTAX]SKIPPING TOKEN:	oR	AT LINE NUMBER:	14
[WARNING][SYNTAX]SKIPPING TOKEN:	ANd	AT LINE NUMBER:	15
[WARNING][SYNTAX]SKIPPING TOKEN:	NOt	AT LINE NUMBER:	15
[WARNING][SYNTAX]SKIPPING TOKEN:	Or	AT LINE NUMBER:	15
[WARNING][SYNTAX]SKIPPING TOKEN:	a_	AT LINE NUMBER:	19
[WARNING][SYNTAX]SKIPPING TOKEN:	b_a0_	AT LINE NUMBER:	21
[WARNING][SYNTAX]SKIPPING TOKEN:	ss_	AT LINE NUMBER:	23
[WARNING][SYNTAX]SKIPPING TOKEN:	a0_a	AT LINE NUMBER:	25
[WARNING][SYNTAX]SKIPPING TOKEN:	a_a_a_a	AT LINE NUMBER:	27
[WARNING][SYNTAX]SKIPPING TOKEN:	anvb_asdf	AT LINE NUMBER:	29
[WARNING][SYNTAX]SKIPPING TOKEN:	jakdshnf_0001	AT LINE NUMBER:	31
[WARNING][SYNTAX]SKIPPING TOKEN:	a00001_01	AT LINE NUMBER:	33
[WARNING][SYNTAX]SKIPPING TOKEN:	sad	AT LINE NUMBER:	35
[WARNING][SYNTAX]SKIPPING TOKEN:	sadasszdsa	AT LINE NUMBER:	36
[WARNING][SYNTAX]SKIPPING TOKEN:	sadsadsa23232	AT LINE NUMBER:	37
[WARNING][SYNTAX]SKIPPING TOKEN:	sadsad	AT LINE NUMBER:	38
[WARNING][SYNTAX]SKIPPING TOKEN:	sads_	AT LINE NUMBER:	39
[WARNING][SYNTAX]SKIPPING TOKEN:	sdsad98_	AT LINE NUMBER:	40
[WARNING][SYNTAX]SKIPPING TOKEN:	sds_98797	AT LINE NUMBER:	41
[WARNING][SYNTAX]SKIPPING TOKEN:	0	AT LINE NUMBER:	45
[WARNING][SYNTAX]SKIPPING TOKEN:	1	AT LINE NUMBER:	45
[WARNING][SYNTAX]SKIPPING TOKEN:	2	AT LINE NUMBER:	45
[WARNING][SYNTAX]SKIPPING TOKEN:	3	AT LINE NUMBER:	45
[WARNING][SYNTAX]SKIPPING TOKEN:	4	AT LINE NUMBER:	45
[WARNING][SYNTAX]SKIPPING TOKEN:	5	AT LINE NUMBER:	45
[WARNING][SYNTAX]SKIPPING TOKEN:	6	AT LINE NUMBER:	45
[WARNING][SYNTAX]SKIPPING TOKEN:	7	AT LINE NUMBER:	45
[WARNING][SYNTAX]SKIPPING TOKEN:	8	AT LINE NUMBER:	45
